Source,Target,Weight,Label
dhq-000016,chambers2006,1,chambers2006
dhq-000016,mla2006,3,mla2006
dhq-000016,tei2008,2,tei2008
dhq-000016,cca2006,3,cca2006
dhq-000016,shapiro2001,1,shapiro2001
dhq-000016,hayles2007,2,hayles2007
dhq-000016,selber2004,2,selber2004
dhq-000016,warwick2007,2,warwick2007
dhq-000017,nelson2005,2,nelson2005
dhq-000017,strickland2007,1,strickland2007
dhq-000017,montfort2007,1,montfort2007
dhq-000017,kendall2007,1,kendall2007
dhq-000017,hayles2008,2,hayles2008
dhq-000017,rettberg2007,1,rettberg2007
dhq-000017,hayles2003,1,hayles2003
dhq-000017,hayles2007,1,hayles2007
dhq-000017,hayles2007a,1,hayles2007a
dhq-000018,simanowski2007,4,simanowski2007
dhq-000018,baetens2003,2,baetens2003
dhq-000018,murray1995,2,murray1995
dhq-000018,peterson2006,2,peterson2006
dhq-000018,reas2007,3,reas2007
dhq-000019,lynch2001,2,lynch2001
dhq-000019,elkins1999,2,elkins1999
dhq-000019,bearman2005,2,bearman2005
dhq-000019,barrett1989,2,barrett1989
dhq-000019,aberer2004,2,aberer2004
dhq-000019,eakins1999,2,eakins1999
dhq-000019,bush1945,2,bush1945
dhq-000019,unsworth2001,3,unsworth2001
dhq-000019,vygotsky1976,2,vygotsky1976
dhq-000019,oreilly2006,2,oreilly2006
dhq-000019,chen2005,2,chen2005
dhq-000019,wyman2006,3,wyman2006
dhq-000019,attneave1950,2,attneave1950
dhq-000019,heylighen1999,2,heylighen1999
dhq-000019,loran2006,2,loran2006
dhq-000019,santini2001,2,santini2001
dhq-000019,kirsch1984,2,kirsch1984
dhq-000019,goodman1988,3,goodman1988
dhq-000019,finch1974,1,finch1974
dhq-000019,salomon1996,2,salomon1996
dhq-000019,panofsky1970,2,panofsky1970
dhq-000019,nauta1993,2,nauta1993
dhq-000019,jorgensen1999,3,jorgensen1999
dhq-000019,jenny2000,2,jenny2000
dhq-000019,wolfflin1950,2,wolfflin1950
dhq-000019,tufte1998,1,tufte1998
dhq-000019,ross2004,2,ross2004
dhq-000019,bra2004,2,bra2004
dhq-000019,huijsmans1999,2,huijsmans1999
dhq-000019,shatfordlayne2002,2,shatfordlayne2002
dhq-000019,hutchins1995,2,hutchins1995
dhq-000019,baca2005,2,baca2005
dhq-000019,batschmann1986,2,batschmann1986
dhq-000019,ahn2006,2,ahn2006
dhq-000019,wenger2002,1,wenger2002
dhq-000019,stahl2006,3,stahl2006
dhq-000019,sierra2007,2,sierra2007
dhq-000019,nauta2001,2,nauta2001
dhq-000019,stubenrauch1993,2,stubenrauch1993
dhq-000023,acls2006,2,acls2006
dhq-000023,monroy2007,2,monroy2007
dhq-000023,boschetti2007,2,boschetti2007
dhq-000023,bamman2007,2,bamman2007
dhq-000023,crane2005,2,crane2005
dhq-000023,riva2005,2,riva2005
dhq-000023,csomai2006,2,csomai2006
dhq-000023,sankar2006,2,sankar2006
dhq-000023,blanke2006,2,blanke2006
dhq-000023,busa1974,2,busa1974
dhq-000023,romanello2008,2,romanello2008
dhq-000023,fitzpatrick2007,2,fitzpatrick2007
dhq-000023,crane2000,2,crane2000
dhq-000023,agosti2007,2,agosti2007
dhq-000023,jones2007,2,jones2007
dhq-000023,pritchard2008,2,pritchard2008
dhq-000023,bl2008,1,bl2008
dhq-000023,tobin2008,2,tobin2008
dhq-000023,schroeter2007,2,schroeter2007
dhq-000023,crane2006c,2,crane2006c
dhq-000023,marshall2008,2,marshall2008
dhq-000023,gietz2006,2,gietz2006
dhq-000023,bamman2006,2,bamman2006
dhq-000023,borin2007,2,borin2007
dhq-000023,plaisant2006,2,plaisant2006
dhq-000023,genereux2006,2,genereux2006
dhq-000023,buckland2007,2,buckland2007
dhq-000023,vandenbranden2007,2,vandenbranden2007
dhq-000023,dekhytar2006,2,dekhytar2006
dhq-000023,lally2007,2,lally2007
dhq-000023,geleijnse2007,2,geleijnse2007
dhq-000023,kelly2006,2,kelly2006
dhq-000023,crane2007,3,crane2007
dhq-000023,garrett2006,2,garrett2006
dhq-000023,luce2008,2,luce2008
dhq-000023,dimitriadis2006,2,dimitriadis2006
dhq-000023,chi2007,2,chi2007
dhq-000023,hyman2008,2,hyman2008
dhq-000023,bradley2008,2,bradley2008
dhq-000023,audenaert2008,2,audenaert2008
dhq-000023,kraft2005,2,kraft2005
dhq-000023,robinson2005,2,robinson2005
dhq-000023,krowne2003,2,krowne2003
dhq-000023,lu2008,2,lu2008
dhq-000023,arms2007,2,arms2007
dhq-000023,culotta2005,2,culotta2005
dhq-000023,elings2007,2,elings2007
dhq-000023,crane2006a,2,crane2006a
dhq-000023,sperberg1994,2,sperberg1994
dhq-000023,cantara2006,2,cantara2006
dhq-000023,simeoni2007,2,simeoni2007
dhq-000023,smith2001,2,smith2001
dhq-000023,kolak2008,2,kolak2008
dhq-000023,don2007,2,don2007
dhq-000023,hockxyu2006,2,hockxyu2006
dhq-000023,porter2006,2,porter2006
dhq-000023,schilit2008,2,schilit2008
dhq-000023,shirky2008,2,shirky2008
dhq-000023,gold2007,2,gold2007
dhq-000023,cosley2006,2,cosley2006
dhq-000023,lagoze2006,2,lagoze2006
dhq-000023,kirschenbaum2007,2,kirschenbaum2007
dhq-000023,heilman2008,2,heilman2008
dhq-000023,bia2006,2,bia2006
dhq-000023,rosenzweig2006,2,rosenzweig2006
dhq-000023,moalla2006,2,moalla2006
dhq-000023,ponzetto2007,2,ponzetto2007
dhq-000023,vangendt2006,2,vangendt2006
dhq-000023,dalbello2006,2,dalbello2006
dhq-000023,gatos2006,2,gatos2006
dhq-000023,veltman1999,2,veltman1999
dhq-000023,vlachos2006,2,vlachos2006
dhq-000023,ganchev2007,2,ganchev2007
dhq-000023,trnkoczy2006,2,trnkoczy2006
dhq-000023,robinson2000,2,robinson2000
dhq-000023,united1880,2,united1880
dhq-000023,crane2006b,2,crane2006b
dhq-000023,busa1980,2,busa1980
dhq-000024,mahaffy1881,2,mahaffy1881
dhq-000024,mcdorman2004,2,mcdorman2004
dhq-000024,hanlon2005,2,hanlon2005
dhq-000024,malachowski2003,2,malachowski2003
dhq-000024,allen1889a,1,allen1889a
dhq-000024,allen1902,1,allen1902
dhq-000024,willison2007,2,willison2007
dhq-000024,robillard2006,2,robillard2006
dhq-000024,thomas2008,2,thomas2008
dhq-000024,tei2004,1,tei2004
dhq-000024,comparetti1901,2,comparetti1901
dhq-000024,jacoby2004,2,jacoby2004
dhq-000024,elliott,2,elliott
dhq-000024,allen1907,1,allen1907
dhq-000024,nagy2004,2,nagy2004
dhq-000024,ishiyama2002,2,ishiyama2002
dhq-000024,pleasant2003,2,pleasant2003
dhq-000024,finkel2001,2,finkel2001
dhq-000024,roger2003,2,roger2003
dhq-000024,norcia2008,2,norcia2008
dhq-000024,lopatto2006,2,lopatto2006
dhq-000024,cartledge1985,2,cartledge1985
dhq-000024,stephens2005,2,stephens2005
dhq-000024,mahoney2003,1,mahoney2003
dhq-000024,allen1900,1,allen1900
dhq-000024,christesen2007,2,christesen2007
dhq-000024,allen1889,1,allen1889
dhq-000024,sperberg-mcqueen2004,2,sperberg-mcqueen2004
dhq-000024,allen1896,1,allen1896
dhq-000024,allen1890,1,allen1890
dhq-000024,merkel2003,2,merkel2003
dhq-000024,wilson2003,2,wilson2003
dhq-000024,allen1890a,1,allen1890a
dhq-000024,allen1889b,1,allen1889b
dhq-000024,blackwell2004,2,blackwell2004
dhq-000024,allen1904,1,allen1904
dhq-000024,grobman2007,2,grobman2007
dhq-000024,versnel1992,3,versnel1992
dhq-000024,crane1996,2,crane1996
dhq-000024,kinkead2003,2,kinkead2003
dhq-000024,allen1931,5,allen1931
dhq-000024,allen1899,1,allen1899
dhq-000024,hu2007,2,hu2007
dhq-000024,oxford1996,2,oxford1996
dhq-000024,oates,2,oates
dhq-000025,reynolds1991,2,reynolds1991
dhq-000025,hornblower1996,1,hornblower1996
dhq-000025,most1999,2,most1999
dhq-000025,winchester2003,2,winchester2003
dhq-000025,herrin1996,2,herrin1996
dhq-000025,dionisotti1990,2,dionisotti1990
dhq-000025,adler1928,1,adler1928
dhq-000025,macdowell1995,2,macdowell1995
dhq-000025,damrosch2006,2,damrosch2006
dhq-000025,cancick2002,1,cancick2002
dhq-000025,pfeiffer1999,1,pfeiffer1999
dhq-000025,henderson1998,2,henderson1998
dhq-000025,finkel2000,2,finkel2000
dhq-000025,rydberg-cox2006,2,rydberg-cox2006
dhq-000025,zecchini1999,2,zecchini1999
dhq-000025,mccarty2002,2,mccarty2002
dhq-000025,dickey2007,3,dickey2007
dhq-000025,boyer1990,3,boyer1990
dhq-000025,gibson2002,2,gibson2002
dhq-000026,robertson2004,2,robertson2004
dhq-000026,carrera2002,2,carrera2002
dhq-000026,clark1992,2,clark1992
dhq-000026,allen1983,2,allen1983
dhq-000026,robertson2006,2,robertson2006
dhq-000026,drucker,2,drucker
dhq-000026,nakahira2007,2,nakahira2007
dhq-000026,smith2002,2,smith2002
dhq-000026,thaller1991,2,thaller1991
dhq-000026,robertson2002,2,robertson2002
dhq-000026,carrera2005,2,carrera2005
dhq-000026,crane2006,2,crane2006
dhq-000027,rydberg-cox2003,2,rydberg-cox2003
dhq-000027,opencontent,2,opencontent
dhq-000027,seattle2005,1,seattle2005
dhq-000027,crane1998,2,crane1998
dhq-000027,bbc2005,2,bbc2005
dhq-000027,price-wilkin1997,2,price-wilkin1997
dhq-000027,crane1991,2,crane1991
dhq-000027,rydberg-cox2005,3,rydberg-cox2005
dhq-000027,archimedes,2,archimedes
dhq-000027,reddy2006,2,reddy2006
dhq-000027,googlebooks,2,googlebooks
dhq-000027,archimedestemplates,2,archimedestemplates
dhq-000028,nagy2004,2,nagy2004
dhq-000028,dickey2007,2,dickey2007
dhq-000028,dindorf1875,1,dindorf1875
dhq-000028,vanthiel,1,vanthiel
dhq-000029,reynolds1991,2,reynolds1991
dhq-000029,aland2005,2,aland2005
dhq-000029,vanhoutte2007,4,vanhoutte2007
dhq-000029,thaller2004,3,thaller2004
dhq-000029,due2002,2,due2002
dhq-000029,nagy1996a,2,nagy1996a
dhq-000029,desmedt2002,2,desmedt2002
dhq-000029,foley1991,2,foley1991
dhq-000029,monella2008,2,monella2008
dhq-000029,lord1995,3,lord1995
dhq-000029,janko1982,2,janko1982
dhq-000029,parry1971,3,parry1971
dhq-000029,dahlstrom2000,4,dahlstrom2000
dhq-000029,nagy2004,4,nagy2004
dhq-000029,due2006,2,due2006
dhq-000029,nagy2000,2,nagy2000
dhq-000029,robinson2005,5,robinson2005
dhq-000029,ulman2006,2,ulman2006
dhq-000029,allen1924,3,allen1924
dhq-000029,nagy1996b,2,nagy1996b
dhq-000029,kiernan2005,3,kiernan2005
dhq-000029,robinson2004,2,robinson2004
dhq-000029,vanhulle2004,4,vanhulle2004
dhq-000029,due2001b,2,due2001b
dhq-000029,monroy2002,4,monroy2002
dhq-000029,sherratt1990,2,sherratt1990
dhq-000029,lord1960,5,lord1960
dhq-000029,greg1955,2,greg1955
dhq-000029,stringer1999,3,stringer1999
dhq-000029,foley1995,2,foley1995
dhq-000029,lord1991,2,lord1991
dhq-000029,loranger1999,2,loranger1999
dhq-000029,nagy2002,2,nagy2002
dhq-000029,foley1999,2,foley1999
dhq-000029,allen1931,2,allen1931
dhq-000029,due2004,2,due2004
dhq-000029,watkins1995,2,watkins1995
dhq-000029,porter2007,2,porter2007
dhq-000029,due2001a,7,due2001a
dhq-000030,reynolds2007,1,reynolds2007
dhq-000030,cameron1984,2,cameron1984
dhq-000030,clark1999,1,clark1999
dhq-000030,dagron1984,2,dagron1984
dhq-000030,unsworth2004,2,unsworth2004
dhq-000030,smith2004,2,smith2004
dhq-000030,bos2007,1,bos2007
dhq-000030,vangroningen1932,2,vangroningen1932
dhq-000030,clark1999a,1,clark1999a
dhq-000030,panciera1991,2,panciera1991
dhq-000030,bodard2007,1,bodard2007
dhq-000030,colin2007,1,colin2007
dhq-000030,bray2006,1,bray2006
dhq-000030,elliott2007,1,elliott2007
dhq-000030,roueche2004,1,roueche2004
dhq-000031,goodchild2004,2,goodchild2004
dhq-000031,scaife1999,2,scaife1999
dhq-000031,unsworth2000,2,unsworth2000
dhq-000031,nadeau2008,1,nadeau2008
dhq-000031,elliott2008a,2,elliott2008a
dhq-000031,geoweb2007,1,geoweb2007
dhq-000031,tilkov2007,2,tilkov2007
dhq-000031,babeau2007,2,babeau2007
dhq-000031,rohs2007,1,rohs2007
dhq-000031,hansen2004,2,hansen2004
dhq-000031,pritchard2008,2,pritchard2008
dhq-000031,boll2008,2,boll2008
