Source,Target,Weight,Label (currently just name of target doc)
dhq-000004,dhq-000006,3.136157053,dhq-000006
dhq-000004,dhq-000007,4.084436154,dhq-000007
dhq-000004,dhq-000008,4.456295349,dhq-000008
dhq-000004,dhq-000009,7.25621694,dhq-000009
dhq-000004,dhq-000010,6.569457746,dhq-000010
dhq-000004,dhq-000011,5.055195662,dhq-000011
dhq-000004,dhq-000012,6.135148851,dhq-000012
dhq-000004,dhq-000013,3.322384306,dhq-000013
dhq-000004,dhq-000014,3.840376438,dhq-000014
dhq-000004,dhq-000015,6.334059862,dhq-000015
dhq-000004,dhq-000016,5.16866001,dhq-000016
dhq-000004,dhq-000017,5.44241497,dhq-000017
dhq-000004,dhq-000018,5.429172913,dhq-000018
dhq-000004,dhq-000019,6.61011051,dhq-000019
dhq-000004,dhq-000020,4.529057955,dhq-000020
dhq-000004,dhq-000021,3.757514931,dhq-000021
dhq-000004,dhq-000022,3.864129964,dhq-000022
dhq-000004,dhq-000023,3.491074486,dhq-000023
dhq-000004,dhq-000024,4.393742858,dhq-000024
dhq-000004,dhq-000025,5.175004696,dhq-000025
dhq-000004,dhq-000026,5.816742283,dhq-000026
dhq-000004,dhq-000027,5.944747593,dhq-000027
dhq-000004,dhq-000028,4.140171935,dhq-000028
dhq-000004,dhq-000029,4.302168787,dhq-000029
dhq-000004,dhq-000030,4.312525819,dhq-000030
dhq-000004,dhq-000031,5.517602517,dhq-000031
dhq-000004,dhq-000032,9.113772312,dhq-000032
dhq-000004,dhq-000033,6.283790501,dhq-000033
dhq-000004,dhq-000034,4.948812272,dhq-000034
dhq-000004,dhq-000035,4.635591671,dhq-000035
dhq-000004,dhq-000036,3.67134811,dhq-000036
dhq-000004,dhq-000037,4.16569932,dhq-000037
dhq-000004,dhq-000038,5.361550928,dhq-000038
dhq-000004,dhq-000039,5.543010722,dhq-000039
dhq-000004,dhq-000040,3.166969512,dhq-000040
dhq-000004,dhq-000041,5.028025483,dhq-000041
dhq-000004,dhq-000042,6.934200689,dhq-000042
dhq-000004,dhq-000043,5.996006664,dhq-000043
dhq-000004,dhq-000044,7.036327103,dhq-000044
dhq-000004,dhq-000045,4.573848407,dhq-000045
dhq-000004,dhq-000046,5.297319527,dhq-000046
dhq-000004,dhq-000047,4.891282288,dhq-000047
dhq-000004,dhq-000048,2.604237506,dhq-000048
dhq-000004,dhq-000049,4.761190718,dhq-000049
dhq-000004,dhq-000050,1.837841002,dhq-000050
dhq-000004,dhq-000051,0.318785263,dhq-000051
dhq-000004,dhq-000052,5.312144669,dhq-000052
dhq-000004,dhq-000053,3.384261576,dhq-000053
dhq-000004,dhq-000054,0.621066467,dhq-000054
dhq-000004,dhq-000055,1.894652002,dhq-000055
dhq-000004,dhq-000056,1.612633937,dhq-000056
dhq-000004,dhq-000057,2.388121509,dhq-000057
dhq-000004,dhq-000058,2.334187698,dhq-000058
dhq-000004,dhq-000059,4.489500149,dhq-000059
dhq-000004,dhq-000060,4.181746216,dhq-000060
dhq-000004,dhq-000061,3.274729445,dhq-000061
dhq-000004,dhq-000062,5.26915304,dhq-000062
dhq-000004,dhq-000063,5.282346428,dhq-000063
dhq-000004,dhq-000064,4.821337177,dhq-000064
dhq-000004,dhq-000065,5.990554025,dhq-000065
dhq-000004,dhq-000066,5.272475724,dhq-000066
dhq-000004,dhq-000067,4.27790069,dhq-000067
dhq-000004,dhq-000068,7.11524494,dhq-000068
dhq-000004,dhq-000069,4.177289985,dhq-000069
dhq-000004,dhq-000070,5.453328273,dhq-000070
dhq-000004,dhq-000071,5.722454264,dhq-000071
dhq-000004,dhq-000072,5.481111144,dhq-000072
dhq-000004,dhq-000073,4.195215032,dhq-000073
dhq-000004,dhq-000074,4.196734074,dhq-000074
dhq-000004,dhq-000075,4.396912969,dhq-000075
